"券商","買進","賣出","買賣超","佔成交比重","日期"
"元大-館前","0","10","10","2.07%","2017-8-9"
"美林","0","10","10","2.07%","2017-8-9"
"摩根大通","0","10","10","2.07%","2017-8-9"
"群益金鼎-永和","0","10","10","2.07%","2017-8-9"
"群益金鼎-板橋","0","10","10","2.07%","2017-8-9"
"元大-屏東民生","0","8","8","1.66%","2017-8-9"
"永豐金-古亭","0","8","8","1.66%","2017-8-9"
"第一金-華江","0","8","8","1.66%","2017-8-9"
"美商高盛","0","73","73","15.11%","2017-8-10"
"第一金-台中","2","26","24","4.97%","2017-8-10"
"國泰-忠孝","0","20","20","4.14%","2017-8-10"
"富邦-宜蘭","0","20","20","4.14%","2017-8-10"
"凱基-三峽","0","12","12","2.48%","2017-8-10"
"台中銀-復興","0","11","11","2.28%","2017-8-10"
"統一-敦南","0","10","10","2.07%","2017-8-10"
"玉山-板橋","0","10","10","2.07%","2017-8-10"
"永豐金-中盛","0","10","10","2.07%","2017-8-10"
"港商德意志","0","10","10","2.07%","2017-8-10"
"聯邦-高雄","0","10","10","2.07%","2017-8-10"
"富邦-園區","0","10","10","2.07%","2017-8-10"
"統一-中壢","0","8","8","1.66%","2017-8-10"
"凱基-台北","0","8","8","1.66%","2017-8-10"
"兆豐-永和","0","8","8","1.66%","2017-8-10"
"康和","0","73","73","15.11%","2017-8-11"
"美商高盛","2","26","24","4.97%","2017-8-11"
"玉山-松江","0","20","20","4.14%","2017-8-11"
"華南永昌-台中","0","20","20","4.14%","2017-8-11"
"凱基-竹科","0","12","12","2.48%","2017-8-11"
"摩根大通","0","11","11","2.28%","2017-8-11"
"台中銀-復興","0","10","10","2.07%","2017-8-11"
"台新-左楠","0","10","10","2.07%","2017-8-11"
"統一-敦南","0","10","10","2.07%","2017-8-11"
"日盛-八德","0","10","10","2.07%","2017-8-11"
"統一-彰化","0","10","10","2.07%","2017-8-11"
"統一-桃園","0","10","10","2.07%","2017-8-11"
"群益金鼎-嘉義","0","8","8","1.66%","2017-8-11"
"元大-南京","0","8","8","1.66%","2017-8-11"
"群益金鼎-南三重","0","8","8","1.66%","2017-8-11"
"美商高盛","0","73","73","15.11%","2017-8-14"
"鑫豐","2","26","24","4.97%","2017-8-14"
"玉山","0","20","20","4.14%","2017-8-14"
"元富-西松","0","20","20","4.14%","2017-8-14"
"凱基-民權","0","12","12","2.48%","2017-8-14"
"摩根大通","0","11","11","2.28%","2017-8-14"
"康和-台中","0","10","10","2.07%","2017-8-14"
"元大-新莊","0","10","10","2.07%","2017-8-14"
"台灣摩根士丹利","0","10","10","2.07%","2017-8-14"
"元大-鳳山","0","10","10","2.07%","2017-8-14"
"元大-東蘆","0","10","10","2.07%","2017-8-14"
"第一金-忠孝","0","10","10","2.07%","2017-8-14"
"大昌-安康","0","8","8","1.66%","2017-8-14"
"富邦-建國","0","8","8","1.66%","2017-8-14"
"元大-大松山","0","8","8","1.66%","2017-8-14"
"美商高盛","0","73","73","15.11%","2017-8-15"
"兆豐-內湖","2","26","24","4.97%","2017-8-15"
"亞東-板橋","0","20","20","4.14%","2017-8-15"
"美林","0","20","20","4.14%","2017-8-15"
"第一金-高雄","0","12","12","2.48%","2017-8-15"
"凱基-台北","0","11","11","2.28%","2017-8-15"
"大昌-安康","0","10","10","2.07%","2017-8-15"
"群益金鼎-南三重","0","10","10","2.07%","2017-8-15"
"合庫證券","0","10","10","2.07%","2017-8-15"
"兆豐-大同","0","10","10","2.07%","2017-8-15"
"元大-桃興","0","10","10","2.07%","2017-8-15"
"統一-金門","0","10","10","2.07%","2017-8-15"
"國泰-松江","0","8","8","1.66%","2017-8-15"
"元大-內湖","0","8","8","1.66%","2017-8-15"
"統一-新營","0","8","8","1.66%","2017-8-15"
"美商高盛","0","73","73","15.11%","2017-8-16"
"台灣摩根士丹利","2","26","24","4.97%","2017-8-16"
"美林","0","20","20","4.14%","2017-8-16"
"元大-龍潭","0","20","20","4.14%","2017-8-16"
"致和-金華","0","12","12","2.48%","2017-8-16"
"國泰","0","11","11","2.28%","2017-8-16"
"元大-桃興","0","10","10","2.07%","2017-8-16"
"(牛牛牛)亞-網路","0","10","10","2.07%","2017-8-16"
"第一金-華江","0","10","10","2.07%","2017-8-16"
"大昌-安康","0","10","10","2.07%","2017-8-16"
"新光","0","10","10","2.07%","2017-8-16"
"元富-文心","0","10","10","2.07%","2017-8-16"
"元大-內湖","0","8","8","1.66%","2017-8-16"
"康和-內湖","0","8","8","1.66%","2017-8-16"
"統一","0","8","8","1.66%","2017-8-16"
"國泰-忠孝","0","73","73","15.11%","2017-8-17"
"元大-博愛","2","26","24","4.97%","2017-8-17"
"元大-新盛","0","20","20","4.14%","2017-8-17"
"美林","0","20","20","4.14%","2017-8-17"
"台灣摩根士丹利","0","12","12","2.48%","2017-8-17"
"富邦-員林","0","11","11","2.28%","2017-8-17"
"元富","0","10","10","2.07%","2017-8-17"
"台新","0","10","10","2.07%","2017-8-17"
"玉山-新莊","0","10","10","2.07%","2017-8-17"
"元大-竹東","0","10","10","2.07%","2017-8-17"
"元富-敦南","0","10","10","2.07%","2017-8-17"
"元富-草屯","0","10","10","2.07%","2017-8-17"
"新光-桃園","0","8","8","1.66%","2017-8-17"
"群益金鼎-新莊","0","8","8","1.66%","2017-8-17"
"永豐金-南京","0","8","8","1.66%","2017-8-17"
"台灣摩根士丹利","0","73","73","15.11%","2017-8-18"
"統一","2","26","24","4.97%","2017-8-18"
"元富-同大","0","20","20","4.14%","2017-8-18"
"兆豐-公益","0","20","20","4.14%","2017-8-18"
"國票-九鼎","0","12","12","2.48%","2017-8-18"
"富邦-高雄","0","11","11","2.28%","2017-8-18"
"台新-三民","0","10","10","2.07%","2017-8-18"
"元大-博愛","0","10","10","2.07%","2017-8-18"
"瑞士信貸","0","10","10","2.07%","2017-8-18"
"中國信託-永康","0","10","10","2.07%","2017-8-18"
"永豐金-萬盛","0","10","10","2.07%","2017-8-18"
"美林","0","10","10","2.07%","2017-8-18"
"國泰","0","8","8","1.66%","2017-8-18"
"元大-福營","0","8","8","1.66%","2017-8-18"
"凱基-台北","0","8","8","1.66%","2017-8-18"
"花旗環球","0","73","73","15.11%","2017-8-21"
"台灣摩根士丹利","2","26","24","4.97%","2017-8-21"
"統一-敦南","0","20","20","4.14%","2017-8-21"
"瑞士信貸","0","20","20","4.14%","2017-8-21"
"永豐金-博愛","0","12","12","2.48%","2017-8-21"
"兆豐-虎尾","0","11","11","2.28%","2017-8-21"
"元富-世貿","0","10","10","2.07%","2017-8-21"
"群益金鼎-台中","0","10","10","2.07%","2017-8-21"
"富邦-彰化","0","10","10","2.07%","2017-8-21"
"群益金鼎-中山","0","10","10","2.07%","2017-8-21"
"兆豐-公益","0","10","10","2.07%","2017-8-21"
"凱基-台北","0","10","10","2.07%","2017-8-21"
"大昌-樹林","0","8","8","1.66%","2017-8-21"
"永豐金-天母","0","8","8","1.66%","2017-8-21"
"元大-淡水","0","8","8","1.66%","2017-8-21"
"統一","0","73","73","15.11%","2017-8-22"
"美林","2","26","24","4.97%","2017-8-22"
"台灣摩根士丹利","0","20","20","4.14%","2017-8-22"
"美商高盛","0","20","20","4.14%","2017-8-22"
"群益金鼎-彰化","0","12","12","2.48%","2017-8-22"
"元大-台南","0","11","11","2.28%","2017-8-22"
"富邦-中壢","0","10","10","2.07%","2017-8-22"
"富邦-新竹華信","0","10","10","2.07%","2017-8-22"
"永豐金-三重","0","10","10","2.07%","2017-8-22"
"台新-三民","0","10","10","2.07%","2017-8-22"
"元大-新盛","0","10","10","2.07%","2017-8-22"
"合庫-台南","0","10","10","2.07%","2017-8-22"
"兆豐-公益","0","8","8","1.66%","2017-8-22"
"瑞士信貸","0","8","8","1.66%","2017-8-22"
"第一金-忠孝","0","8","8","1.66%","2017-8-22"
"美商高盛","0","73","73","15.11%","2017-8-23"
"台灣摩根士丹利","2","26","24","4.97%","2017-8-23"
"台新-新莊","0","20","20","4.14%","2017-8-23"
"群益金鼎-屏東","0","20","20","4.14%","2017-8-23"
"臺銀-民權","0","12","12","2.48%","2017-8-23"
"國泰-館前","0","11","11","2.28%","2017-8-23"
"元大-復北","0","10","10","2.07%","2017-8-23"
"(牛牛牛)亞-網路","0","10","10","2.07%","2017-8-23"
"大昌-安康","0","10","10","2.07%","2017-8-23"
"永豐金-經紀部","0","10","10","2.07%","2017-8-23"
"瑞士信貸","0","10","10","2.07%","2017-8-23"
"玉山-板橋","0","10","10","2.07%","2017-8-23"
"凱基-士林","0","8","8","1.66%","2017-8-23"
"光和-嘉義","0","8","8","1.66%","2017-8-23"
"國泰-忠孝","0","8","8","1.66%","2017-8-23"
"華南永昌","0","73","73","15.11%","2017-8-24"
"國票-北投","2","26","24","4.97%","2017-8-24"
"日盛-復興","0","20","20","4.14%","2017-8-24"
"美林","0","20","20","4.14%","2017-8-24"
"凱基-總公司","0","12","12","2.48%","2017-8-24"
"富邦-經紀","0","11","11","2.28%","2017-8-24"
"永豐金-信義","0","10","10","2.07%","2017-8-24"
"安泰","0","10","10","2.07%","2017-8-24"
"元大-向上","0","10","10","2.07%","2017-8-24"
"新光","0","10","10","2.07%","2017-8-24"
"元大-新竹經國","0","10","10","2.07%","2017-8-24"
"統一-仁愛","0","10","10","2.07%","2017-8-24"
"合庫- 台中","0","8","8","1.66%","2017-8-24"
"日盛-樹林","0","8","8","1.66%","2017-8-24"
"元大-館前","0","8","8","1.66%","2017-8-24"
"元大-經紀部","0","73","73","15.11%","2017-8-25"
"華南永昌-南京","2","26","24","4.97%","2017-8-25"
"富邦-新竹華信","0","20","20","4.14%","2017-8-25"
"台新","0","20","20","4.14%","2017-8-25"
"合庫證券","0","12","12","2.48%","2017-8-25"
"兆豐-鹿港","0","11","11","2.28%","2017-8-25"
"永豐金-台南","0","10","10","2.07%","2017-8-25"
"富邦-高雄","0","10","10","2.07%","2017-8-25"
"富邦-仁愛","0","10","10","2.07%","2017-8-25"
"兆豐-桃鶯","0","10","10","2.07%","2017-8-25"
"凱基-士林","0","10","10","2.07%","2017-8-25"
"元富-大昌","0","10","10","2.07%","2017-8-25"
"元富-西松","0","8","8","1.66%","2017-8-25"
"永豐金-屏東","0","8","8","1.66%","2017-8-25"
"凱基-延平","0","8","8","1.66%","2017-8-25"
"玉山-雙和","0","73","73","15.11%","2017-8-28"
"摩根大通","2","26","24","4.97%","2017-8-28"
"元大-復北","0","20","20","4.14%","2017-8-28"
"凱基-中港","0","20","20","4.14%","2017-8-28"
"富邦-仁愛","0","12","12","2.48%","2017-8-28"
"合庫證券","0","11","11","2.28%","2017-8-28"
"元大-中和","0","10","10","2.07%","2017-8-28"
"元大-開元","0","10","10","2.07%","2017-8-28"
"元大-南京","0","10","10","2.07%","2017-8-28"
"群益金鼎-中山","0","10","10","2.07%","2017-8-28"
"永豐金-經紀部","0","10","10","2.07%","2017-8-28"
"日盛-八德","0","10","10","2.07%","2017-8-28"
"群益金鼎-永和","0","8","8","1.66%","2017-8-28"
"國泰","0","8","8","1.66%","2017-8-28"
"元大-高雄","0","8","8","1.66%","2017-8-28"
"美林","0","73","73","15.11%","2017-8-29"
"光和-虎尾","2","26","24","4.97%","2017-8-29"
"統一","0","20","20","4.14%","2017-8-29"
"國票-北投","0","20","20","4.14%","2017-8-29"
"美商高盛","0","12","12","2.48%","2017-8-29"
"兆豐-城中","0","11","11","2.28%","2017-8-29"
"統一-仁愛","0","10","10","2.07%","2017-8-29"
"台中銀-復興","0","10","10","2.07%","2017-8-29"
"國票-敦北法人","0","10","10","2.07%","2017-8-29"
"凱基-士林","0","10","10","2.07%","2017-8-29"
"群益金鼎-崇德","0","10","10","2.07%","2017-8-29"
"日盛","0","10","10","2.07%","2017-8-29"
"群益金鼎-總公司","0","8","8","1.66%","2017-8-29"
"元富-虎尾","0","8","8","1.66%","2017-8-29"
"元大-博愛","0","8","8","1.66%","2017-8-29"
"統一-新台中","0","73","73","15.11%","2017-8-30"
"永豐金-豐原","2","26","24","4.97%","2017-8-30"
"合庫證券","0","20","20","4.14%","2017-8-30"
"摩根大通","0","20","20","4.14%","2017-8-30"
"康和","0","12","12","2.48%","2017-8-30"
"統一-台中","0","11","11","2.28%","2017-8-30"
"群益金鼎-台中","0","10","10","2.07%","2017-8-30"
"統一-桃園","0","10","10","2.07%","2017-8-30"
"群益金鼎-東湖","0","10","10","2.07%","2017-8-30"
"群益金鼎-總公司","0","10","10","2.07%","2017-8-30"
"日盛-復興","0","10","10","2.07%","2017-8-30"
"福勝","0","10","10","2.07%","2017-8-30"
"華南永昌-南京","0","8","8","1.66%","2017-8-30"
"富邦-敦南","0","8","8","1.66%","2017-8-30"
"元富-古亭","0","8","8","1.66%","2017-8-30"
"台新","0","73","73","15.11%","2017-8-31"
"凱基-建成","2","26","24","4.97%","2017-8-31"
"新加坡商瑞銀","0","20","20","4.14%","2017-8-31"
"合庫證券","0","20","20","4.14%","2017-8-31"
"統一-台中","0","12","12","2.48%","2017-8-31"
"華南永昌-內壢","0","11","11","2.28%","2017-8-31"
"美商高盛","0","10","10","2.07%","2017-8-31"
"凱基-永華","0","10","10","2.07%","2017-8-31"
"元富-宜蘭","0","10","10","2.07%","2017-8-31"
"玉山-高雄","0","10","10","2.07%","2017-8-31"
"台新-新莊","0","10","10","2.07%","2017-8-31"
"第一金-高雄","0","10","10","2.07%","2017-8-31"
"兆豐-新營","0","8","8","1.66%","2017-8-31"
"統一-高雄","0","8","8","1.66%","2017-8-31"
"康和","0","8","8","1.66%","2017-8-31"
"元大-開元","0","73","73","15.11%","2017-9-1"
"盈溢-籬子內","2","26","24","4.97%","2017-9-1"
"合庫證券","0","20","20","4.14%","2017-9-1"
"日盛-景美","0","20","20","4.14%","2017-9-1"
"台新","0","12","12","2.48%","2017-9-1"
"台灣摩根士丹利","0","11","11","2.28%","2017-9-1"
"統一-桃園","0","10","10","2.07%","2017-9-1"
"統一-新竹","0","10","10","2.07%","2017-9-1"
"富邦-大同","0","10","10","2.07%","2017-9-1"
"玉山-城中","0","10","10","2.07%","2017-9-1"
"日盛-復興","0","10","10","2.07%","2017-9-1"
"第一金-經紀部","0","10","10","2.07%","2017-9-1"
"福勝","0","8","8","1.66%","2017-9-1"
"凱基-中港","0","8","8","1.66%","2017-9-1"
"元大-新和平","0","8","8","1.66%","2017-9-1"
"統一","0","73","73","15.11%","2017-9-4"
"統一-台中","2","26","24","4.97%","2017-9-4"
"台灣摩根士丹利","0","20","20","4.14%","2017-9-4"
"富邦-虎尾","0","20","20","4.14%","2017-9-4"
"台中銀-復興","0","12","12","2.48%","2017-9-4"
"永豐金-經紀部","0","11","11","2.28%","2017-9-4"
"合庫證券","0","10","10","2.07%","2017-9-4"
"群益金鼎-民權","0","10","10","2.07%","2017-9-4"
"兆豐-虎尾","0","10","10","2.07%","2017-9-4"
"富邦-台中","0","10","10","2.07%","2017-9-4"
"元富-四維","0","10","10","2.07%","2017-9-4"
"永豐金-天母","0","10","10","2.07%","2017-9-4"
"國票-九鼎","0","8","8","1.66%","2017-9-4"
"永豐金-忠孝","0","8","8","1.66%","2017-9-4"
"台新-五權(停)","0","8","8","1.66%","2017-9-4"
"凱基-大里","0","73","73","15.11%","2017-9-5"
"富邦-經紀","2","26","24","4.97%","2017-9-5"
"永豐金-內湖","0","20","20","4.14%","2017-9-5"
"華南永昌-南京","0","20","20","4.14%","2017-9-5"
"元大-信義","0","12","12","2.48%","2017-9-5"
"大鼎","0","11","11","2.28%","2017-9-5"
"合庫證券","0","10","10","2.07%","2017-9-5"
"群益金鼎-台中","0","10","10","2.07%","2017-9-5"
"統一-台中","0","10","10","2.07%","2017-9-5"
"元大-水湳","0","10","10","2.07%","2017-9-5"
"凱基-站前","0","10","10","2.07%","2017-9-5"
"台中銀-復興","0","10","10","2.07%","2017-9-5"
"國票-長城","0","8","8","1.66%","2017-9-5"
"群益金鼎-經國","0","8","8","1.66%","2017-9-5"
"光和-虎尾","0","8","8","1.66%","2017-9-5"
"大慶-中壢","0","73","73","15.11%","2017-9-6"
"凱基-大里","2","26","24","4.97%","2017-9-6"
"合庫證券","0","20","20","4.14%","2017-9-6"
"台中銀-復興","0","20","20","4.14%","2017-9-6"
"凱基-復興","0","12","12","2.48%","2017-9-6"
"永豐金-萬盛","0","11","11","2.28%","2017-9-6"
"統一-內湖","0","10","10","2.07%","2017-9-6"
"群益金鼎-台北","0","10","10","2.07%","2017-9-6"
"元富-吉利","0","10","10","2.07%","2017-9-6"
"統一-敦南","0","10","10","2.07%","2017-9-6"
"統一-台中","0","10","10","2.07%","2017-9-6"
"統一","0","10","10","2.07%","2017-9-6"
"大鼎","0","8","8","1.66%","2017-9-6"
"元富-敦南","0","8","8","1.66%","2017-9-6"
"第一金-安和","0","8","8","1.66%","2017-9-6"
"元大-南京","0","73","73","15.11%","2017-9-7"
"凱基-信義","2","26","24","4.97%","2017-9-7"
"永豐金-敦南","0","20","20","4.14%","2017-9-7"
"元大-花蓮","0","20","20","4.14%","2017-9-7"
"群益金鼎-大安","0","12","12","2.48%","2017-9-7"
"永豐金","0","11","11","2.28%","2017-9-7"
"康和","0","10","10","2.07%","2017-9-7"
"元大-大里德芳","0","10","10","2.07%","2017-9-7"
"富邦-台北","0","10","10","2.07%","2017-9-7"
"元大-內湖","0","10","10","2.07%","2017-9-7"
"富邦-世貿","0","10","10","2.07%","2017-9-7"
"凱基-彰化","0","10","10","2.07%","2017-9-7"
"永豐金-中壢","0","8","8","1.66%","2017-9-7"
"元大-仁愛","0","8","8","1.66%","2017-9-7"
"國票","0","8","8","1.66%","2017-9-7"
"國票-嘉義","0","73","73","15.11%","2017-9-8"
"統一-中壢","2","26","24","4.97%","2017-9-8"
"元大-南京","0","20","20","4.14%","2017-9-8"
"凱基-中山","0","20","20","4.14%","2017-9-8"
"凱基-永華","0","12","12","2.48%","2017-9-8"
"元大-景美","0","11","11","2.28%","2017-9-8"
"凱基-大里","0","10","10","2.07%","2017-9-8"
"統一-台中","0","10","10","2.07%","2017-9-8"
"元富-烏日","0","10","10","2.07%","2017-9-8"
"康和","0","10","10","2.07%","2017-9-8"
"永豐金-忠孝","0","10","10","2.07%","2017-9-8"
"永豐金-板盛","0","10","10","2.07%","2017-9-8"
"新光","0","8","8","1.66%","2017-9-8"
"群益金鼎-嘉義","0","8","8","1.66%","2017-9-8"
"群益金鼎-東門","0","8","8","1.66%","2017-9-8"
"新加坡商瑞銀","0","73","73","15.11%","2017-9-11"
"台新-左楠","2","26","24","4.97%","2017-9-11"
"永豐金-敦南","0","20","20","4.14%","2017-9-11"
"凱基-總公司","0","20","20","4.14%","2017-9-11"
"元大-南京","0","12","12","2.48%","2017-9-11"
"華南永昌-頭份","0","11","11","2.28%","2017-9-11"
"富邦-台北","0","10","10","2.07%","2017-9-11"
"中國信託","0","10","10","2.07%","2017-9-11"
"凱基-南京(停)","0","10","10","2.07%","2017-9-11"
"富邦-新店","0","10","10","2.07%","2017-9-11"
"美商高盛","0","10","10","2.07%","2017-9-11"
"第一金-忠孝","0","10","10","2.07%","2017-9-11"
"元大-敦化","0","8","8","1.66%","2017-9-11"
"國票-九鼎","0","8","8","1.66%","2017-9-11"
"兆豐-新營","0","8","8","1.66%","2017-9-11"
"康和-仁愛","0","73","73","15.11%","2017-9-12"
"兆豐-新營","2","26","24","4.97%","2017-9-12"
"新加坡商瑞銀","0","20","20","4.14%","2017-9-12"
"凱基-市政","0","20","20","4.14%","2017-9-12"
"元大-南京","0","12","12","2.48%","2017-9-12"
"元大-八德","0","11","11","2.28%","2017-9-12"
"新光-台中","0","10","10","2.07%","2017-9-12"
"元大-潮州","0","10","10","2.07%","2017-9-12"
"凱基-城中","0","10","10","2.07%","2017-9-12"
"元大-新店中正","0","10","10","2.07%","2017-9-12"
"凱基-台南","0","10","10","2.07%","2017-9-12"
"元大-復北","0","10","10","2.07%","2017-9-12"
"凱基-中山","0","8","8","1.66%","2017-9-12"
"元大-信義","0","8","8","1.66%","2017-9-12"
"新百王","0","8","8","1.66%","2017-9-12"
"康和-仁愛","0","73","73","15.11%","2017-9-13"
"元大-嘉義","2","26","24","4.97%","2017-9-13"
"永豐金-敦南","0","20","20","4.14%","2017-9-13"
"日盛-復興","0","20","20","4.14%","2017-9-13"
"元大-西門","0","12","12","2.48%","2017-9-13"
"元大-仁愛","0","11","11","2.28%","2017-9-13"
"統一-台中","0","10","10","2.07%","2017-9-13"
"凱基-大里","0","10","10","2.07%","2017-9-13"
"永豐金-新竹","0","10","10","2.07%","2017-9-13"
"永豐金-豐原","0","10","10","2.07%","2017-9-13"
"大昌-新店","0","10","10","2.07%","2017-9-13"
"國票-九鼎","0","10","10","2.07%","2017-9-13"
"國泰-松江","0","8","8","1.66%","2017-9-13"
"永全-南崁","0","8","8","1.66%","2017-9-13"
"元富-西松","0","8","8","1.66%","2017-9-13"
"統一","0","73","73","15.11%","2017-9-14"
"聯邦-嘉義","2","26","24","4.97%","2017-9-14"
"凱基-中山","0","20","20","4.14%","2017-9-14"
"元大-信義","0","20","20","4.14%","2017-9-14"
"元大-嘉義","0","12","12","2.48%","2017-9-14"
"統一-新竹","0","11","11","2.28%","2017-9-14"
"兆豐-忠孝","0","10","10","2.07%","2017-9-14"
"永豐金-萬盛","0","10","10","2.07%","2017-9-14"
"元大-八德","0","10","10","2.07%","2017-9-14"
"元富-延平","0","10","10","2.07%","2017-9-14"
"新加坡商瑞銀","0","10","10","2.07%","2017-9-14"
"元大-彰化","0","10","10","2.07%","2017-9-14"
"中國信託-新竹","0","8","8","1.66%","2017-9-14"
"富邦-北港","0","8","8","1.66%","2017-9-14"
"元大-新莊","0","8","8","1.66%","2017-9-14"
