"券商","買進","賣出","買賣超","佔成交比重","日期"
"國票-嘉義","48","7","41","8.49%","2017-8-3"
"美商高盛","0","73","73","15.11%","2017-8-3"
"永豐金-潮州","29","0","29","6%","2017-8-3"
"群益金鼎-三民","2","26","24","4.97%","2017-8-3"
"兆豐-桃鶯","27","0","27","5.59%","2017-8-3"
"安泰","0","20","20","4.14%","2017-8-3"
"港商德意志","23","0","23","4.76%","2017-8-3"
"凱基-三峽","0","20","20","4.14%","2017-8-3"
"臺銀-臺南","15","0","15","3.11%","2017-8-3"
"群益金鼎-永和","0","12","12","2.48%","2017-8-3"
"中國信託-高雄","13","0","13","2.69%","2017-8-3"
"凱基-新店","0","11","11","2.28%","2017-8-3"
"摩根大通","16","5","11","2.28%","2017-8-3"
"凱基-延平","0","10","10","2.07%","2017-8-3"
"國泰-館前","10","0","10","2.07%","2017-8-3"
"富邦-經紀","0","10","10","2.07%","2017-8-3"
"臺灣企銀-台北","10","0","10","2.07%","2017-8-3"
"亞東-台南","0","10","10","2.07%","2017-8-3"
"元富-大昌","10","0","10","2.07%","2017-8-3"
"凱基-市府","0","10","10","2.07%","2017-8-3"
"元富-花蓮","10","0","10","2.07%","2017-8-3"
"元大-屏南","0","10","10","2.07%","2017-8-3"
"群益金鼎-敦南","9","0","9","1.86%","2017-8-3"
"永豐金-南京","0","10","10","2.07%","2017-8-3"
"群益金鼎-屏東","10","1","9","1.86%","2017-8-3"
"國票-北高雄","0","8","8","1.66%","2017-8-3"
"元大-草屯","8","0","8","1.66%","2017-8-3"
"元富-新竹","0","8","8","1.66%","2017-8-3"
"大慶-長榮","8","1","7","1.45%","2017-8-3"
"群益金鼎-彰化","0","8","8","1.66%","2017-8-3"
"港商麥格理","48","7","41","8.49%","2017-8-4"
"美商高盛","0","73","73","15.11%","2017-8-4"
"富邦-員林","29","0","29","6%","2017-8-4"
"新加坡商瑞銀","2","26","24","4.97%","2017-8-4"
"元大-大安","27","0","27","5.59%","2017-8-4"
"凱基-台北","0","20","20","4.14%","2017-8-4"
"凱基-台東","23","0","23","4.76%","2017-8-4"
"康和","0","20","20","4.14%","2017-8-4"
"港商德意志","15","0","15","3.11%","2017-8-4"
"統一","0","12","12","2.48%","2017-8-4"
"元大-蘆洲","13","0","13","2.69%","2017-8-4"
"富邦-經紀","0","11","11","2.28%","2017-8-4"
"國泰-忠孝","16","5","11","2.28%","2017-8-4"
"永豐金-彰化","0","10","10","2.07%","2017-8-4"
"元大-內湖","10","0","10","2.07%","2017-8-4"
"群益金鼎-海山","0","10","10","2.07%","2017-8-4"
"日盛-景美","10","0","10","2.07%","2017-8-4"
"群益金鼎-屏東","0","10","10","2.07%","2017-8-4"
"元富-大昌","10","0","10","2.07%","2017-8-4"
"元富-烏日","0","10","10","2.07%","2017-8-4"
"中國信託","10","0","10","2.07%","2017-8-4"
"元富-花蓮","0","10","10","2.07%","2017-8-4"
"玉山-松江","9","0","9","1.86%","2017-8-4"
"玉山","0","10","10","2.07%","2017-8-4"
"凱基-屏東","10","1","9","1.86%","2017-8-4"
"凱基-城中","0","8","8","1.66%","2017-8-4"
"華南永昌-長虹","8","0","8","1.66%","2017-8-4"
"美林","0","8","8","1.66%","2017-8-4"
"元大-基隆","8","1","7","1.45%","2017-8-4"
"瑞士信貸","0","8","8","1.66%","2017-8-4"
"國泰-忠孝","48","7","41","8.49%","2017-8-7"
"美商高盛","0","73","73","15.11%","2017-8-7"
"元大-大安","29","0","29","6%","2017-8-7"
"新加坡商瑞銀","2","26","24","4.97%","2017-8-7"
"元大-蘆洲","27","0","27","5.59%","2017-8-7"
"台中銀-復興","0","20","20","4.14%","2017-8-7"
"港商麥格理","23","0","23","4.76%","2017-8-7"
"統一-敦南","0","20","20","4.14%","2017-8-7"
"凱基-台東","15","0","15","3.11%","2017-8-7"
"美林","0","12","12","2.48%","2017-8-7"
"華南永昌-大安","13","0","13","2.69%","2017-8-7"
"國票-台東","0","11","11","2.28%","2017-8-7"
"群益金鼎-新店","16","5","11","2.28%","2017-8-7"
"元大-前金","0","10","10","2.07%","2017-8-7"
"港商德意志","10","0","10","2.07%","2017-8-7"
"元大-經紀部","0","10","10","2.07%","2017-8-7"
"富邦-員林","10","0","10","2.07%","2017-8-7"
"(牛牛牛)亞-網路","0","10","10","2.07%","2017-8-7"
"新光","10","0","10","2.07%","2017-8-7"
"康和","0","10","10","2.07%","2017-8-7"
"臺銀-臺南","10","0","10","2.07%","2017-8-7"
"統一","0","10","10","2.07%","2017-8-7"
"元大-金華","9","0","9","1.86%","2017-8-7"
"元大-桃園","0","10","10","2.07%","2017-8-7"
"富邦-園區","10","1","9","1.86%","2017-8-7"
"統一-古亭","0","8","8","1.66%","2017-8-7"
"富邦-建國","8","0","8","1.66%","2017-8-7"
"元富-新興","0","8","8","1.66%","2017-8-7"
"臺銀-新竹","8","1","7","1.45%","2017-8-7"
"永豐金-敦南","0","8","8","1.66%","2017-8-7"
"新光","48","7","41","8.49%","2017-8-8"
"港商德意志","0","73","73","15.11%","2017-8-8"
"康和-仁愛","29","0","29","6%","2017-8-8"
"凱基-中港","2","26","24","4.97%","2017-8-8"
"日盛-復興","27","0","27","5.59%","2017-8-8"
"元富-四維","0","20","20","4.14%","2017-8-8"
"日盛-大墩","23","0","23","4.76%","2017-8-8"
"永豐金","0","20","20","4.14%","2017-8-8"
"元大-蘆洲","15","0","15","3.11%","2017-8-8"
"統一","0","12","12","2.48%","2017-8-8"
"凱基-台東","13","0","13","2.69%","2017-8-8"
"瑞士信貸","0","11","11","2.28%","2017-8-8"
"群益金鼎-民權","16","5","11","2.28%","2017-8-8"
"摩根大通","0","10","10","2.07%","2017-8-8"
"華南永昌-長虹","10","0","10","2.07%","2017-8-8"
"富邦-經紀","0","10","10","2.07%","2017-8-8"
"元富-世貿","10","0","10","2.07%","2017-8-8"
"台新-新板","0","10","10","2.07%","2017-8-8"
"元富-中原","10","0","10","2.07%","2017-8-8"
"日盛-頭份","0","10","10","2.07%","2017-8-8"
"中國信託","10","0","10","2.07%","2017-8-8"
"凱基-東勢","0","10","10","2.07%","2017-8-8"
"富邦-天母","9","0","9","1.86%","2017-8-8"
"聯邦-高雄","0","10","10","2.07%","2017-8-8"
"元大-松山","10","1","9","1.86%","2017-8-8"
"兆豐-台南","0","8","8","1.66%","2017-8-8"
"元大-大安","8","0","8","1.66%","2017-8-8"
"玉山-雙和","0","8","8","1.66%","2017-8-8"
"元大-基隆","8","1","7","1.45%","2017-8-8"
"元大-淡水","0","8","8","1.66%","2017-8-8"
"元大-大安","48","7","41","8.49%","2017-8-9"
"元大-中和","0","73","73","15.11%","2017-8-9"
"日盛-大墩","29","0","29","6%","2017-8-9"
"統一-敦南","2","26","24","4.97%","2017-8-9"
"新光","27","0","27","5.59%","2017-8-9"
"新加坡商瑞銀","0","20","20","4.14%","2017-8-9"
"致和-金華","23","0","23","4.76%","2017-8-9"
"港商德意志","0","20","20","4.14%","2017-8-9"
"元大-松山","15","0","15","3.11%","2017-8-9"
"美商高盛","0","12","12","2.48%","2017-8-9"
"台新-前鎮(停)","13","0","13","2.69%","2017-8-9"
"富邦-員林","0","11","11","2.28%","2017-8-9"
"臺銀-民權","16","5","11","2.28%","2017-8-9"
"港商野村","0","10","10","2.07%","2017-8-9"
"國泰-忠孝","10","0","10","2.07%","2017-8-9"
"元大-館前","0","10","10","2.07%","2017-8-9"
"永豐金-敦南","10","0","10","2.07%","2017-8-9"
"美林","0","10","10","2.07%","2017-8-9"
"凱基-中港","10","0","10","2.07%","2017-8-9"
"摩根大通","0","10","10","2.07%","2017-8-9"
"元大-龍潭","10","0","10","2.07%","2017-8-9"
"群益金鼎-永和","0","10","10","2.07%","2017-8-9"
"元大-蘆洲","9","0","9","1.86%","2017-8-9"
"群益金鼎-板橋","0","10","10","2.07%","2017-8-9"
"臺銀-鳳山","10","1","9","1.86%","2017-8-9"
"元大-屏東民生","0","8","8","1.66%","2017-8-9"
"元富-大昌","8","0","8","1.66%","2017-8-9"
"永豐金-古亭","0","8","8","1.66%","2017-8-9"
"富邦-新店","8","1","7","1.45%","2017-8-9"
"第一金-華江","0","8","8","1.66%","2017-8-9"
"國票-北投","48","7","41","8.49%","2017-8-10"
"美商高盛","0","73","73","15.11%","2017-8-10"
"康和-仁愛","29","0","29","6%","2017-8-10"
"第一金-台中","2","26","24","4.97%","2017-8-10"
"日盛-大墩","27","0","27","5.59%","2017-8-10"
"國泰-忠孝","0","20","20","4.14%","2017-8-10"
"元大-大安","23","0","23","4.76%","2017-8-10"
"富邦-宜蘭","0","20","20","4.14%","2017-8-10"
"元大-桃興","15","0","15","3.11%","2017-8-10"
"凱基-三峽","0","12","12","2.48%","2017-8-10"
"台新","13","0","13","2.69%","2017-8-10"
"台中銀-復興","0","11","11","2.28%","2017-8-10"
"群益金鼎-屏東","16","5","11","2.28%","2017-8-10"
"統一-敦南","0","10","10","2.07%","2017-8-10"
"富邦-延吉","10","0","10","2.07%","2017-8-10"
"玉山-板橋","0","10","10","2.07%","2017-8-10"
"凱基-屏東","10","0","10","2.07%","2017-8-10"
"永豐金-中盛","0","10","10","2.07%","2017-8-10"
"永豐金-萬盛","10","0","10","2.07%","2017-8-10"
"港商德意志","0","10","10","2.07%","2017-8-10"
"元富-大昌","10","0","10","2.07%","2017-8-10"
"聯邦-高雄","0","10","10","2.07%","2017-8-10"
"元大-竹科","9","0","9","1.86%","2017-8-10"
"富邦-園區","0","10","10","2.07%","2017-8-10"
"元大-南京","10","1","9","1.86%","2017-8-10"
"統一-中壢","0","8","8","1.66%","2017-8-10"
"元大-桃園","8","0","8","1.66%","2017-8-10"
"凱基-台北","0","8","8","1.66%","2017-8-10"
"永豐金-敦南","8","1","7","1.45%","2017-8-10"
"兆豐-永和","0","8","8","1.66%","2017-8-10"
"元大-大安","48","7","41","8.49%","2017-8-11"
"康和","0","73","73","15.11%","2017-8-11"
"富邦-延吉","29","0","29","6%","2017-8-11"
"美商高盛","2","26","24","4.97%","2017-8-11"
"中國信託-文心","27","0","27","5.59%","2017-8-11"
"玉山-松江","0","20","20","4.14%","2017-8-11"
"新光","23","0","23","4.76%","2017-8-11"
"華南永昌-台中","0","20","20","4.14%","2017-8-11"
"華南永昌-林口","15","0","15","3.11%","2017-8-11"
"凱基-竹科","0","12","12","2.48%","2017-8-11"
"元大-中和","13","0","13","2.69%","2017-8-11"
"摩根大通","0","11","11","2.28%","2017-8-11"
"臺銀-新竹","16","5","11","2.28%","2017-8-11"
"台中銀-復興","0","10","10","2.07%","2017-8-11"
"華南永昌-大安","10","0","10","2.07%","2017-8-11"
"台新-左楠","0","10","10","2.07%","2017-8-11"
"臺銀-臺南","10","0","10","2.07%","2017-8-11"
"統一-敦南","0","10","10","2.07%","2017-8-11"
"日盛-大墩","10","0","10","2.07%","2017-8-11"
"日盛-八德","0","10","10","2.07%","2017-8-11"
"日盛-中和","10","0","10","2.07%","2017-8-11"
"統一-彰化","0","10","10","2.07%","2017-8-11"
"新光-台中","9","0","9","1.86%","2017-8-11"
"統一-桃園","0","10","10","2.07%","2017-8-11"
"元大-北員林","10","1","9","1.86%","2017-8-11"
"群益金鼎-嘉義","0","8","8","1.66%","2017-8-11"
"永豐金-板新","8","0","8","1.66%","2017-8-11"
"元大-南京","0","8","8","1.66%","2017-8-11"
"港商德意志","8","1","7","1.45%","2017-8-11"
"群益金鼎-南三重","0","8","8","1.66%","2017-8-11"
"康和-仁愛","48","7","41","8.49%","2017-8-14"
"美商高盛","0","73","73","15.11%","2017-8-14"
"凱基-內湖","29","0","29","6%","2017-8-14"
"鑫豐","2","26","24","4.97%","2017-8-14"
"富邦-延吉","27","0","27","5.59%","2017-8-14"
"玉山","0","20","20","4.14%","2017-8-14"
"台新","23","0","23","4.76%","2017-8-14"
"元富-西松","0","20","20","4.14%","2017-8-14"
"凱基-中壢","15","0","15","3.11%","2017-8-14"
"凱基-民權","0","12","12","2.48%","2017-8-14"
"元富-城東","13","0","13","2.69%","2017-8-14"
"摩根大通","0","11","11","2.28%","2017-8-14"
"新光-台中","16","5","11","2.28%","2017-8-14"
"康和-台中","0","10","10","2.07%","2017-8-14"
"新光-桃園","10","0","10","2.07%","2017-8-14"
"元大-新莊","0","10","10","2.07%","2017-8-14"
"臺銀-民權","10","0","10","2.07%","2017-8-14"
"台灣摩根士丹利","0","10","10","2.07%","2017-8-14"
"國票-北投","10","0","10","2.07%","2017-8-14"
"元大-鳳山","0","10","10","2.07%","2017-8-14"
"群益金鼎-東門","10","0","10","2.07%","2017-8-14"
"元大-東蘆","0","10","10","2.07%","2017-8-14"
"富邦-民生","9","0","9","1.86%","2017-8-14"
"第一金-忠孝","0","10","10","2.07%","2017-8-14"
"台新-三民","10","1","9","1.86%","2017-8-14"
"大昌-安康","0","8","8","1.66%","2017-8-14"
"元大-大里","8","0","8","1.66%","2017-8-14"
"富邦-建國","0","8","8","1.66%","2017-8-14"
"新光","8","1","7","1.45%","2017-8-14"
"元大-大松山","0","8","8","1.66%","2017-8-14"
"日盛-大墩","48","7","41","8.49%","2017-8-15"
"美商高盛","0","73","73","15.11%","2017-8-15"
"鑫豐","29","0","29","6%","2017-8-15"
"兆豐-內湖","2","26","24","4.97%","2017-8-15"
"國泰-館前","27","0","27","5.59%","2017-8-15"
"亞東-板橋","0","20","20","4.14%","2017-8-15"
"康和-仁愛","23","0","23","4.76%","2017-8-15"
"美林","0","20","20","4.14%","2017-8-15"
"元富-同大","15","0","15","3.11%","2017-8-15"
"第一金-高雄","0","12","12","2.48%","2017-8-15"
"元富-文心","13","0","13","2.69%","2017-8-15"
"凱基-台北","0","11","11","2.28%","2017-8-15"
"元大-大安","16","5","11","2.28%","2017-8-15"
"大昌-安康","0","10","10","2.07%","2017-8-15"
"新光-新竹","10","0","10","2.07%","2017-8-15"
"群益金鼎-南三重","0","10","10","2.07%","2017-8-15"
"統一-高雄","10","0","10","2.07%","2017-8-15"
"合庫證券","0","10","10","2.07%","2017-8-15"
"凱基-嘉義","10","0","10","2.07%","2017-8-15"
"兆豐-大同","0","10","10","2.07%","2017-8-15"
"元大-東蘆","10","0","10","2.07%","2017-8-15"
"元大-桃興","0","10","10","2.07%","2017-8-15"
"華南永昌-南京","9","0","9","1.86%","2017-8-15"
"統一-金門","0","10","10","2.07%","2017-8-15"
"日盛-中和","10","1","9","1.86%","2017-8-15"
"國泰-松江","0","8","8","1.66%","2017-8-15"
"港商德意志","8","0","8","1.66%","2017-8-15"
"元大-內湖","0","8","8","1.66%","2017-8-15"
"統一-仁愛","8","1","7","1.45%","2017-8-15"
"統一-新營","0","8","8","1.66%","2017-8-15"
"華南永昌-南京","48","7","41","8.49%","2017-8-16"
"美商高盛","0","73","73","15.11%","2017-8-16"
"瑞士信貸","29","0","29","6%","2017-8-16"
"台灣摩根士丹利","2","26","24","4.97%","2017-8-16"
"日盛-大墩","27","0","27","5.59%","2017-8-16"
"美林","0","20","20","4.14%","2017-8-16"
"摩根大通","23","0","23","4.76%","2017-8-16"
"元大-龍潭","0","20","20","4.14%","2017-8-16"
"鑫豐","15","0","15","3.11%","2017-8-16"
"致和-金華","0","12","12","2.48%","2017-8-16"
"富邦-高雄","13","0","13","2.69%","2017-8-16"
"國泰","0","11","11","2.28%","2017-8-16"
"元大-大安","16","5","11","2.28%","2017-8-16"
"元大-桃興","0","10","10","2.07%","2017-8-16"
"中國信託-永康","10","0","10","2.07%","2017-8-16"
"(牛牛牛)亞-網路","0","10","10","2.07%","2017-8-16"
"玉山-桃園","10","0","10","2.07%","2017-8-16"
"第一金-華江","0","10","10","2.07%","2017-8-16"
"元大-台南","10","0","10","2.07%","2017-8-16"
"大昌-安康","0","10","10","2.07%","2017-8-16"
"富邦-新店","10","0","10","2.07%","2017-8-16"
"新光","0","10","10","2.07%","2017-8-16"
"元大-善化","9","0","9","1.86%","2017-8-16"
"元富-文心","0","10","10","2.07%","2017-8-16"
"玉山-台大","10","1","9","1.86%","2017-8-16"
"元大-內湖","0","8","8","1.66%","2017-8-16"
"元富-草屯","8","0","8","1.66%","2017-8-16"
"康和-內湖","0","8","8","1.66%","2017-8-16"
"中國信託-忠孝","8","1","7","1.45%","2017-8-16"
"統一","0","8","8","1.66%","2017-8-16"
"元大-蘆洲","48","7","41","8.49%","2017-8-17"
"國泰-忠孝","0","73","73","15.11%","2017-8-17"
"國票-九鼎","29","0","29","6%","2017-8-17"
"元大-博愛","2","26","24","4.97%","2017-8-17"
"日盛-大墩","27","0","27","5.59%","2017-8-17"
"元大-新盛","0","20","20","4.14%","2017-8-17"
"凱基-嘉義","23","0","23","4.76%","2017-8-17"
"美林","0","20","20","4.14%","2017-8-17"
"兆豐-公益","15","0","15","3.11%","2017-8-17"
"台灣摩根士丹利","0","12","12","2.48%","2017-8-17"
"統一-高雄","13","0","13","2.69%","2017-8-17"
"富邦-員林","0","11","11","2.28%","2017-8-17"
"元大-南京","16","5","11","2.28%","2017-8-17"
"元富","0","10","10","2.07%","2017-8-17"
"元大-新和平","10","0","10","2.07%","2017-8-17"
"台新","0","10","10","2.07%","2017-8-17"
"元大-苑裡","10","0","10","2.07%","2017-8-17"
"玉山-新莊","0","10","10","2.07%","2017-8-17"
"中國信託-松江","10","0","10","2.07%","2017-8-17"
"元大-竹東","0","10","10","2.07%","2017-8-17"
"陽信-石牌","10","0","10","2.07%","2017-8-17"
"元富-敦南","0","10","10","2.07%","2017-8-17"
"元大-內湖","9","0","9","1.86%","2017-8-17"
"元富-草屯","0","10","10","2.07%","2017-8-17"
"富邦-板橋","10","1","9","1.86%","2017-8-17"
"新光-桃園","0","8","8","1.66%","2017-8-17"
"臺銀-臺中","8","0","8","1.66%","2017-8-17"
"群益金鼎-新莊","0","8","8","1.66%","2017-8-17"
"鑫豐","8","1","7","1.45%","2017-8-17"
"永豐金-南京","0","8","8","1.66%","2017-8-17"
"國泰-忠孝","48","7","41","8.49%","2017-8-18"
"台灣摩根士丹利","0","73","73","15.11%","2017-8-18"
"凱基-嘉義","29","0","29","6%","2017-8-18"
"統一","2","26","24","4.97%","2017-8-18"
"康和-仁愛","27","0","27","5.59%","2017-8-18"
"元富-同大","0","20","20","4.14%","2017-8-18"
"國泰-台中","23","0","23","4.76%","2017-8-18"
"兆豐-公益","0","20","20","4.14%","2017-8-18"
"元大-大安","15","0","15","3.11%","2017-8-18"
"國票-九鼎","0","12","12","2.48%","2017-8-18"
"元富-草屯","13","0","13","2.69%","2017-8-18"
"富邦-高雄","0","11","11","2.28%","2017-8-18"
"華南永昌-大安","16","5","11","2.28%","2017-8-18"
"台新-三民","0","10","10","2.07%","2017-8-18"
"臺銀-新竹","10","0","10","2.07%","2017-8-18"
"元大-博愛","0","10","10","2.07%","2017-8-18"
"玉山-桃園","10","0","10","2.07%","2017-8-18"
"瑞士信貸","0","10","10","2.07%","2017-8-18"
"元大-淡水","10","0","10","2.07%","2017-8-18"
"中國信託-永康","0","10","10","2.07%","2017-8-18"
"國票-北投","10","0","10","2.07%","2017-8-18"
"永豐金-萬盛","0","10","10","2.07%","2017-8-18"
"台新-新莊","9","0","9","1.86%","2017-8-18"
"美林","0","10","10","2.07%","2017-8-18"
"國泰-桃園","10","1","9","1.86%","2017-8-18"
"國泰","0","8","8","1.66%","2017-8-18"
"華南永昌-麻豆","8","0","8","1.66%","2017-8-18"
"元大-福營","0","8","8","1.66%","2017-8-18"
"華南永昌-內壢","8","1","7","1.45%","2017-8-18"
"凱基-台北","0","8","8","1.66%","2017-8-18"
"元富","48","7","41","8.49%","2017-8-21"
"花旗環球","0","73","73","15.11%","2017-8-21"
"凱基-嘉義","29","0","29","6%","2017-8-21"
"台灣摩根士丹利","2","26","24","4.97%","2017-8-21"
"元大-大安","27","0","27","5.59%","2017-8-21"
"統一-敦南","0","20","20","4.14%","2017-8-21"
"台新-復興","23","0","23","4.76%","2017-8-21"
"瑞士信貸","0","20","20","4.14%","2017-8-21"
"玉山-板橋","15","0","15","3.11%","2017-8-21"
"永豐金-博愛","0","12","12","2.48%","2017-8-21"
"美林","13","0","13","2.69%","2017-8-21"
"兆豐-虎尾","0","11","11","2.28%","2017-8-21"
"永豐金-中盛","16","5","11","2.28%","2017-8-21"
"元富-世貿","0","10","10","2.07%","2017-8-21"
"群益金鼎-彰化","10","0","10","2.07%","2017-8-21"
"群益金鼎-台中","0","10","10","2.07%","2017-8-21"
"元大-土城","10","0","10","2.07%","2017-8-21"
"富邦-彰化","0","10","10","2.07%","2017-8-21"
"群益金鼎-嘉義","10","0","10","2.07%","2017-8-21"
"群益金鼎-中山","0","10","10","2.07%","2017-8-21"
"日盛-園區","10","0","10","2.07%","2017-8-21"
"兆豐-公益","0","10","10","2.07%","2017-8-21"
"臺銀-鳳山","9","0","9","1.86%","2017-8-21"
"凱基-台北","0","10","10","2.07%","2017-8-21"
"日盛-斗六","10","1","9","1.86%","2017-8-21"
"大昌-樹林","0","8","8","1.66%","2017-8-21"
"元富-延平","8","0","8","1.66%","2017-8-21"
"永豐金-天母","0","8","8","1.66%","2017-8-21"
"國票-北投","8","1","7","1.45%","2017-8-21"
"元大-淡水","0","8","8","1.66%","2017-8-21"
"凱基-嘉義","48","7","41","8.49%","2017-8-22"
"統一","0","73","73","15.11%","2017-8-22"
"華南永昌","29","0","29","6%","2017-8-22"
"美林","2","26","24","4.97%","2017-8-22"
"台中銀-員林","27","0","27","5.59%","2017-8-22"
"台灣摩根士丹利","0","20","20","4.14%","2017-8-22"
"大昌-安康","23","0","23","4.76%","2017-8-22"
"美商高盛","0","20","20","4.14%","2017-8-22"
"凱基-中港","15","0","15","3.11%","2017-8-22"
"群益金鼎-彰化","0","12","12","2.48%","2017-8-22"
"元富","13","0","13","2.69%","2017-8-22"
"元大-台南","0","11","11","2.28%","2017-8-22"
"國票-南京","16","5","11","2.28%","2017-8-22"
"富邦-中壢","0","10","10","2.07%","2017-8-22"
"玉山-桃園","10","0","10","2.07%","2017-8-22"
"富邦-新竹華信","0","10","10","2.07%","2017-8-22"
"群益金鼎-屏東","10","0","10","2.07%","2017-8-22"
"永豐金-三重","0","10","10","2.07%","2017-8-22"
"群益金鼎-嘉義","10","0","10","2.07%","2017-8-22"
"台新-三民","0","10","10","2.07%","2017-8-22"
"群益金鼎-天母","10","0","10","2.07%","2017-8-22"
"元大-新盛","0","10","10","2.07%","2017-8-22"
"富邦-敦南","9","0","9","1.86%","2017-8-22"
"合庫-台南","0","10","10","2.07%","2017-8-22"
"元大-板橋三民","10","1","9","1.86%","2017-8-22"
"兆豐-公益","0","8","8","1.66%","2017-8-22"
"永豐金-中盛","8","0","8","1.66%","2017-8-22"
"瑞士信貸","0","8","8","1.66%","2017-8-22"
"元大-竹東","8","1","7","1.45%","2017-8-22"
"第一金-忠孝","0","8","8","1.66%","2017-8-22"
"新光","48","7","41","8.49%","2017-8-23"
